executionId,symbol,tf,side,signalTs,openTs,closedTs,statusAtOpen,mode,source,entrySignal,entryFill,entry,rawEntry,projectedEntry,entryProjectionAtrMult,sl,tp,tpRawAtr,tpCappedByResistance,tpDistancePct,tpDistanceAtr,exitPrice,quantity,grossQuantity,positionUsd,tradeUsd,freeQuote,score,signalClass,rsi,prevRsi,atr,atrPct,adx,ema20,ema50,ema200,bullish,bullishFast,nearEma20,nearEma50,nearPullback,stackedEma,rsiInBand,rsiRising,isTrend,isRange,cooldownPassed,emaSeparationPct,emaSlopePct,distToEma20,distToEma50,entryDiffPctFromLast,nearestSupport,nearestSupportStrength,nearestSupportTouches,nearestResistance,nearestResistanceStrength,nearestResistanceTouches,srPassed,srReason,distanceToSupportAtr,distanceToResistanceAtr,maxHighDuringTrade,minLowDuringTrade,barsOpen,executionAttempted,executionApproved,executionReason,rrPlanned,rrRealizedLogged,outcome,closeReason,pnlPct,commissionRate,entryOrderId,entryClientOrderId,entryTransactTime,entryStatus,entryExecutedQty,entryQuoteQty,exitOrderId,exitClientOrderId,exitTransactTime,exitStatus,exitExecutedQty,exitQuoteQty,slippagePct,latencyInternal,latencyExchange,latencyTotal,execMetricTs,execMetricMatchDiffMs,rrRealized
binance_real_1773837918450_XRPUSDC,XRPUSDC,1m,BUY,1773837917152,1773837918450,1773844177284,OPEN,binance_real,binance-spot,1.4686,1.4656,1.4656,,,,1.452703,1.494035,,,,,1.4541,23.6,,34.59,34.59,173.93,70,EXECUTABLE,41.899852537150046,37.174477279516616,0.0031794273337599826,0.0021649375825684206,39.405609819827205,1.4700225717843491,1.4781413272501518,1.4986359818033388,false,false,true,false,true,false,true,true,true,false,true,0.013955232570602613,0.00026339791953995255,0.0014225717843492358,0.009541327250151888,0.01489133351220821,,,,,,,,,,,1.4745,1.4521,102,true,true,binance_order_opened,1.5999874190098995,1,SL,SL,-0.7846615720524062,0.002,3276790509,x-B3AUXNYVaa40367ac8d947fcbc7ebe,1773837918342,FILLED,23.60000000,34.58816000,3277353623,x-B3AUXNYV1b84791d8f8b49d7ade39c,1773844177184,FILLED,23.60000000,34.31676000,0.002042761813972417,994,298,1292,1773837918445,5,-0.8916802357137413
binance_real_1773844422655_ETHUSDC,ETHUSDC,1m,BUY,1773844421349,1773844422655,1773845160927,OPEN,binance_real,binance-spot,2219.74,2221.81,2221.81,,,,2203.93981,2239.490237,,,,,2207.69,0.0156,,34.66,34.66,173.22,70,EXECUTABLE,42.85228880209391,38.38408199826838,3.9500474721711787,0.0017795090741128145,47.09433845817902,2222.2727526383846,2227.6832691715094,2251.5838566761395,false,false,true,false,true,false,true,true,true,false,true,0.010767291441623812,0.0001455179439559031,2.5327526383848635,7.943269171509655,0.006249720195191851,,,,,,,,,,,2224.71,2203.61,12,true,true,binance_order_opened,1.249999968354829,1,SL,SL,-0.6355178885683245,0.002,9620056111,x-B3AUXNYV38bd318a173d485dbc7ee7,1773844422553,FILLED,0.01560000,34.66023600,9620280174,x-B3AUXNYVce73bf7bd8d54a9389cf63,1773845160828,FILLED,0.01550000,34.21919500,0.0009325416490220314,1000,302,1302,1773844422651,4,-0.7901426901448623
binance_real_1773844669812_BNBUSDC,BNBUSDC,1m,BUY,1773844668469,1773844669812,1773845652626,OPEN,binance_real,binance-spot,653.86,653.3199999999999,653.32,,,,649.776485,660.393623,,,,,650.37,0.042,,27.44,27.44,138.56,70,EXECUTABLE,44.3643392221281,38.07944998914122,0.8167029304701771,0.0012490486196895009,26.693877853755545,654.1552679233748,655.4694137307305,660.059152629555,false,false,true,false,true,false,true,true,true,false,true,0.007019452021571164,0.00010020875456819519,0.29526792337480856,1.6094137307304663,0.005914101102242473,,,,,,,,,,,653.86,649.5,16,true,true,binance_order_opened,1.5999997551129308,1,SL,SL,-0.4515398273434221,0.002,2562000900,x-B3AUXNYVc883c3cff1eb440db51d19,1773844669707,FILLED,0.04200000,27.43944000,2562078027,x-B3AUXNYVa533f2a009a945a99cc335,1773845652526,FILLED,0.04100000,26.66517000,0.0008258648640382915,1027,309,1336,1773844669807,5,-0.8325067059120584
binance_real_1773847616842_ETHUSDC,ETHUSDC,1m,BUY,1773847615560,1773847616842,1773855599607,OPEN,binance_real,binance-spot,2181.74,2184.1,2184.1,,,,2162.404315,2205.909606,,,,,2210.64,0.0126,,27.52,27.52,137.71,70,EXECUTABLE,42.01122198683636,37.061700306560226,4.8339211586387085,0.0022156265909955854,38.8909990726778,2184.5854186311512,2194.631814971964,2228.4598919571436,false,false,true,false,true,false,true,true,true,false,true,0.015505090883963926,0.00023970781452226629,2.8454186311514604,12.891814971964322,0.017119122059340283,,,,,,,,,,,2208.43,2167.15,130,true,true,binance_order_opened,1.2499999870705867,1.2499999870705867,TP,TP,1.215145826656287,0.002,9621393629,x-B3AUXNYV77aec4fcc517453992caa3,1773847616737,FILLED,0.01260000,27.51966000,9623375157,x-B3AUXNYV52554e7a43eb4021a3c557,1773855599503,FILLED,0.01260000,27.85406400,0.0010817054277778872,974,305,1279,1773847616839,3,1.2232847222846548
binance_real_1773856764838_ETHUSDC,ETHUSDC,1m,BUY,1773856763513,1773856764838,1773856888529,OPEN,binance_real,binance-spot,2204.19,2204.83,2204.83,,,,2193.673939,2217.335076,,,,,2215.09,0.0105,,23.15,23.15,116.02,75,EXECUTABLE,54.00103034363141,53.12564629947716,2.6290152412817305,0.0011927353092436362,11.595605687974446,2203.814693506498,2198.2956597297125,2197.968109390126,true,true,true,false,true,true,false,true,false,false,true,0.00014860349588132184,0.00010945372568483412,0.3753064935021939,5.894340270287557,0.010289952056615488,,,,,,,,,,,2219.57,2203.9,2,true,true,binance_order_opened,1.2499999762267888,1.2499999762267888,TP,TP,0.46534199915640745,0.002,9623620332,x-B3AUXNYV74cb64ff21b24fa9a9b7f1,1773856764729,FILLED,0.01050000,23.15071500,9623690809,x-B3AUXNYVc4df5cf65cd548a5ad9af5,1773856888425,FILLED,0.01050000,23.25844500,0.00029035609452899826,1002,318,1320,1773856764834,4,0.9196794459980179
binance_real_1773858605888_ETHUSDC,ETHUSDC,1m,BUY,1773858604579,1773858605888,1773860141735,OPEN,binance_real,binance-spot,2198.39,2198.7999999999997,2198.8,,,,2183.420383,2217.102021,,,,,2179.43152381,0.0105,,23.09,23.09,116.13,75,EXECUTABLE,41.84055779632931,34.365552051958474,3.742404282851576,0.0017023386582233253,25.970086701817767,2201.0985014404337,2202.619614602207,2200.19724520658,true,false,true,true,true,false,false,true,true,false,true,0.0011018833763012485,0.00007837204373263726,2.7085014404337926,4.229614602207221,0.0026313521066696527,,,,,,,,,,,2209.66,2175.35,25,true,true,binance_order_opened,1.2499999832995459,1,SL,SL,-0.8808657535928854,0.002,9624288283,x-B3AUXNYV745bd831216644b7acb850,1773858605779,FILLED,0.01050000,23.08740000,9624769596,x-B3AUXNYVafda998ada2a4c4e9fbd07,1773860141594,FILLED,0.01050000,22.88403100,0.00018650012054269465,1045,258,1303,1773858605883,5,-1.2593601121536653
binance_real_1773860511271_ETHUSDC,ETHUSDC,1m,BUY,1773860509463,1773860511271,1773864573703,OPEN,binance_real,binance-spot,2185,2184.16,2184.16,,,,2167.118869,2207.351414,,,,,2166.37,0.0106,,23.15,23.15,115.93,70,EXECUTABLE,42.1910987530217,36.489480005276285,4.470282755744338,0.0020458959980523285,22.921794817114794,2188.3485701599884,2194.77118818602,2198.4748458308854,false,false,true,false,true,false,true,true,true,false,true,0.0016950378237370325,0.00018168251451023253,3.3485701599884123,9.771188186020026,0.006090821009920839,,,,,,,,,,,2196.6,2164.71,45,true,true,binance_order_opened,1.2500000139812233,1,SL,SL,-0.8145007691744178,0.002,9624912625,x-B3AUXNYV71b0316796d841198d8b26,1773860511167,FILLED,0.01060000,23.15209600,9625649865,x-B3AUXNYVdc8ad7684bb24213892434,1773864573601,FILLED,0.01060000,22.96352200,0.00038443935926780115,1372,434,1806,1773860511269,2,-1.0439447945092386
binance_real_1773846206106_XRPUSDC,XRPUSDC,1m,BUY,1773846204520,1773846206106,1773869058327,OPEN,binance_real,binance-spot,1.4468,1.4472,1.4472,,,,1.432562,1.46958,,,,,1.4709,23.7,,34.3,34.3,172.01,70,EXECUTABLE,40.50578275923419,26.27603103145023,0.0028475535092271137,0.0019681735618102803,54.692613370820474,1.4490589893155281,1.4535563359379027,1.4692818284776292,false,false,true,false,true,false,true,true,true,false,true,0.010869154368071985,0.00018968408586566974,0.002258989315528037,0.006756335937902591,0.01484406918153331,,,,,,,,,,,1.4725,1.4363,351,true,true,binance_order_opened,1.5999438123331726,1.5999438123331726,TP,TP,1.6376451077943652,0.002,3277554521,x-B3AUXNYVfdeba1fce0444cf59be8d0,1773846206001,FILLED,23.70000000,34.29864000,3278601127,x-B3AUXNYV6205388b7ca34a9a80725c,1773869058225,FILLED,23.60000000,34.71324000,0.00027647221454240803,1278,302,1580,1773846206101,5,1.619073643940416
binance_real_1773869794642_ETHUSDC,ETHUSDC,1m,BUY,1773869793287,1773869794642,1773870043330,OPEN,binance_real,binance-spot,2193.01,2196.3,2196.3,,,,2184.836896,2203.22638,,,,,2204.62,0.0137,,30.09,30.09,150.45,80,EXECUTABLE,43.90997563463012,45.17640204410066,2.0432760391576643,0.0009317221714254218,5.046560541435328,2195.3590661745598,2192.2563835527503,2190.043145949014,true,true,false,true,true,true,true,false,false,true,true,0.0010092236714543759,0.00001403133630831563,2.349066174559539,0.7536164472498967,0.003665903890160283,,,,,,,,,,,2203.44,2193.01,4,true,true,binance_order_opened,1.2499999999999165,1.2499999999999165,TP,TP,0.3788189227336752,0.002,9626439780,x-B3AUXNYV0d68111b62454d88b29cc0,1773869794539,FILLED,0.01370000,30.08931000,9626477722,x-B3AUXNYVec7506fb60444849a93a36,1773870043227,FILLED,0.01370000,30.20329400,0.0015002211572222486,1039,312,1351,1773869794639,3,0.725806901865274
binance_real_1773869858297_XRPUSDC,XRPUSDC,1m,BUY,1773869856946,1773869858297,1773875942103,OPEN,binance_real,binance-spot,1.4653,1.4666768292682928,1.46667683,,,,1.458482,1.476209,,,,,1.4587,16.4,,24.05,24.05,120.36,75,EXECUTABLE,48.94766570329498,46.05778286693962,0.0013636753025088805,0.0009306458080317208,16.172771457593985,1.4661626196298514,1.4634387124983925,1.4579401178424312,true,true,true,false,true,true,false,true,false,true,true,0.003752538494479877,0.00005191530184170778,0.0008626196298513467,0.0018612875016075225,0.012786839922587752,,,,,,,,,,,1.4691,1.4581,99,true,true,binance_order_opened,1.6000293341155871,1,SL,SL,-0.5438710039484175,0.002,3278617622,x-B3AUXNYV5f4521a58e9e449189c873,1773869858194,FILLED,16.40000000,24.05350000,3278714992,x-B3AUXNYV521b16f83439431ba5f078,1773875942002,FILLED,16.30000000,23.77681000,0.0009396227859774416,1038,309,1347,1773869858294,3,-0.9733978594473551
